7	25	13	12	6	4	18	11	10	5	9	3	4	8	7	6	3	5	4	2	3	2	2	24	21	24	22	25	23	10	20	1	11	12	9	8	17	
5	7	25	13	12	1	4	18	11	1	5	9	3	4	8	7	6	3	5	4	2	3	2	2	25	21	24	22	25	23	10	20	7	11	12	9	8	
20	5	7	25	13	12	6	4	18	11	10	5	9	3	4	8	7	6	3	5	4	2	3	2	2	1	21	24	22	25	23	10	20	7	11	12	9	
21	20	5	7	25	13	12	6	4	18	1	10	5	9	3	4	8	7	6	3	5	4	2	3	2	2	2	21	24	22	25	23	10	20	7	1	1	
24	21	20	5	7	25	13	12	6	4	18	11	10	5	9	3	4	8	7	6	3	5	4	2	3	2	1	3	21	24	22	25	23	10	20	7	11	
23	24	21	20	1	7	25	13	12	6	4	18	11	10	5	9	3	4	8	7	6	3	5	4	2	3	1	2	4	21	24	22	25	23	1	20	7	
19	23	24	21	20	5	1	25	13	12	6	4	18	11	10	5	9	3	4	8	7	6	3	5	4	2	3	2	2	5	21	24	22	25	23	10	20	
8	19	23	24	21	20	5	7	25	13	12	6	4	18	11	10	5	9	3	4	8	7	6	3	5	4	1	1	2	2	6	21	24	22	25	23	10	
22	8	19	23	24	21	20	5	7	25	13	1	6	4	18	11	10	5	9	3	4	8	7	6	3	5	4	2	3	2	2	7	21	24	22	25	23	
11	22	8	19	23	24	21	20	5	7	25	13	12	6	4	18	11	10	5	9	3	4	8	7	6	3	5	4	2	3	2	2	8	21	24	22	25	
13	11	22	8	19	23	24	21	20	5	7	25	1	12	6	4	18	11	10	5	9	3	4	8	7	6	3	5	1	2	3	2	2	9	21	24	22	
10	13	11	22	8	19	23	24	21	20	5	7	25	13	12	6	4	1	11	10	5	9	3	4	8	7	6	1	5	4	2	3	2	2	10	21	24	
12	10	13	11	22	8	19	23	24	21	20	5	7	25	13	12	6	4	18	11	10	5	9	3	4	8	7	6	3	1	4	2	3	2	2	11	21	
9	12	10	13	11	22	8	19	23	24	21	20	5	7	25	13	12	6	4	18	11	10	5	9	3	4	8	7	6	3	5	4	2	3	2	2	12	
1	9	12	10	13	11	22	1	19	23	24	21	20	5	7	25	13	12	6	4	18	11	10	5	9	3	4	8	7	6	3	5	4	2	3	2	2	
14	2	9	12	10	13	11	22	8	19	23	24	21	20	5	7	25	13	12	6	4	18	11	10	5	9	3	4	8	7	1	3	5	4	2	3	2	
14	14	3	9	12	10	13	11	22	8	19	23	24	21	20	5	7	25	13	12	6	4	18	11	10	5	9	1	1	8	7	6	3	5	4	2	3	
15	14	14	4	9	12	10	13	11	22	8	19	23	24	21	20	5	7	25	13	12	6	4	18	11	10	5	9	3	4	8	1	6	3	5	4	2	
14	15	14	14	5	9	12	10	13	11	22	8	19	23	24	21	20	5	7	25	13	12	6	4	18	11	10	5	9	3	4	8	7	6	3	5	4	
16	14	15	14	14	6	9	12	10	13	1	22	8	19	23	24	21	20	5	7	25	13	12	6	4	18	11	10	5	9	3	4	1	7	6	3	5	
17	16	14	15	14	14	7	9	12	1	13	11	22	8	19	23	24	21	20	5	7	25	13	12	6	4	18	11	10	1	9	3	4	8	7	6	3	
15	17	16	14	15	14	14	8	1	12	10	13	11	22	8	19	23	24	21	1	5	7	25	13	12	6	4	18	11	10	5	9	3	4	8	7	6	
18	15	17	16	14	15	14	14	9	9	12	10	1	11	22	8	19	23	24	21	20	5	7	25	13	12	6	4	18	11	10	5	9	3	4	8	7	
19	18	15	17	16	14	15	14	14	10	9	1	10	13	11	22	8	19	23	24	1	20	5	7	1	13	12	6	1	18	11	10	5	1	3	4	8	
20	19	18	15	17	16	14	15	14	14	11	9	12	10	13	11	22	8	1	23	24	21	20	5	7	25	13	12	6	4	18	11	10	5	9	3	4	
16	20	19	18	15	17	16	14	15	14	14	12	9	12	10	13	11	22	8	19	23	24	21	20	5	7	25	13	12	6	4	18	11	10	5	9	3	
15	16	20	19	18	15	17	16	14	15	14	14	13	9	12	10	13	11	22	8	19	23	24	21	20	5	7	25	13	12	1	4	18	11	1	5	9	
21	15	16	20	19	18	15	17	16	14	15	14	14	14	9	12	10	13	11	22	8	19	1	1	21	20	5	7	25	13	12	6	4	18	11	10	5	
17	21	15	16	20	19	18	15	17	16	14	15	14	1	15	9	12	10	13	11	22	8	19	23	24	21	20	5	7	25	13	12	6	4	18	1	10	
22	17	21	15	16	20	19	18	15	17	16	14	15	1	14	16	9	12	10	13	11	1	8	19	23	24	21	20	5	7	25	13	12	6	4	18	11	
23	22	17	21	15	16	20	19	18	15	17	16	14	15	14	14	17	9	12	10	13	11	22	8	19	23	24	21	20	1	7	25	13	12	6	4	18	
6	23	22	17	21	15	16	20	19	18	15	17	16	1	1	14	14	18	9	12	10	13	11	22	8	19	23	24	21	20	5	1	25	13	12	6	4	
16	6	23	22	17	21	15	16	20	19	18	15	17	16	14	15	14	14	19	9	12	10	13	11	22	8	19	23	24	21	20	5	7	25	13	12	6	
18	16	6	23	22	17	21	15	16	20	19	18	15	17	16	14	15	14	14	20	9	12	10	13	11	22	8	19	23	24	21	20	5	7	25	13	1	
24	18	16	6	23	22	17	21	15	16	20	19	18	15	17	1	14	15	14	14	21	9	12	10	13	11	22	8	19	23	24	21	20	5	7	25	13	
25	24	18	16	6	23	22	17	21	15	16	20	19	18	1	17	16	14	15	14	14	22	9	12	10	13	11	22	8	19	23	24	21	20	5	7	25	
13	25	24	18	16	1	23	22	17	21	15	16	20	19	18	15	1	16	14	15	14	14	23	9	12	10	13	11	22	8	19	23	24	21	20	5	7	
19	13	25	24	18	16	6	23	22	17	21	15	16	20	19	18	15	17	16	14	15	14	14	24	9	12	10	13	11	22	8	19	23	24	21	20	5	
17	19	13	25	24	18	16	6	23	22	17	21	15	16	20	19	18	15	17	16	14	15	14	14	25	9	12	10	13	11	22	8	19	23	24	21	20	
8	17	19	13	25	24	18	16	6	23	22	17	21	15	16	20	19	1	15	17	16	14	15	14	14	1	9	12	10	13	11	22	1	19	23	24	21	
9	8	17	19	13	25	24	18	16	6	23	22	17	21	1	1	20	19	18	15	17	16	14	15	14	14	2	9	12	10	13	11	22	8	19	23	24	
12	9	8	17	19	13	25	24	18	16	6	23	22	17	21	15	16	20	1	18	15	17	16	14	15	14	14	3	9	12	10	13	11	22	8	19	23	
11	12	9	8	17	19	13	25	24	18	16	6	23	22	17	21	15	16	20	19	18	15	17	16	14	15	14	14	4	9	12	10	13	11	22	8	19	
7	11	12	9	8	17	19	13	25	24	18	16	6	23	22	17	21	15	16	1	19	18	15	17	16	14	15	14	14	5	9	12	10	13	11	22	8	
20	7	11	12	9	8	17	19	13	25	24	18	16	6	23	22	1	21	15	16	20	19	18	15	17	16	14	15	14	14	6	9	12	10	13	1	22	
10	20	7	11	12	9	8	17	19	13	25	24	18	16	6	23	22	17	21	15	16	20	19	18	15	17	16	14	15	14	14	7	9	12	1	13	11	
23	10	20	7	11	12	9	1	17	19	13	25	24	18	16	6	23	22	17	21	15	16	20	19	18	15	17	16	14	15	14	14	8	1	12	10	13	
25	23	10	20	7	11	12	9	8	17	19	13	25	24	18	1	6	23	22	17	1	15	16	20	19	18	15	17	16	14	15	14	14	9	9	12	10	
22	25	23	10	20	7	11	12	1	8	17	19	1	25	24	18	16	6	23	22	17	21	15	16	20	19	18	15	17	16	14	15	14	14	10	9	1	
24	22	25	23	10	20	1	11	12	9	8	17	19	13	25	24	18	16	6	23	22	17	21	15	16	20	19	18	15	17	16	14	15	14	14	11	9	
21	24	22	25	23	10	20	7	11	12	9	8	17	19	13	25	24	1	16	6	23	1	17	21	15	16	20	19	18	15	17	16	14	15	14	14	12	
