12	14	13	11	12	11	11	8	10	7	9	6	17	15	19	8	16	4	18	10	14	5	9	3	4	8	7	6	
15	12	14	13	11	12	11	11	9	1	7	9	6	17	1	19	8	16	4	18	10	14	5	9	3	4	1	7	
16	15	12	14	13	11	12	11	11	10	10	7	9	6	17	15	19	8	16	4	18	10	14	1	9	3	4	8	
17	16	15	12	14	13	11	12	11	11	11	10	7	9	6	17	15	19	8	16	4	18	10	14	5	9	3	4	
13	17	16	15	12	14	13	11	12	11	1	12	10	7	9	6	1	15	1	8	16	4	18	10	14	5	9	3	
12	13	17	16	15	12	14	13	11	12	1	11	13	10	7	9	6	17	15	19	8	16	1	18	10	14	5	1	
18	12	13	17	16	15	12	14	13	11	12	11	11	14	10	7	9	6	17	15	19	8	16	4	18	10	14	5	
14	18	12	13	17	16	15	12	14	13	1	1	11	11	15	10	7	9	6	17	15	19	8	16	4	18	10	14	
5	14	18	12	13	17	16	15	12	14	13	11	12	11	11	16	10	7	9	6	17	15	19	8	16	4	18	10	
19	5	14	18	12	13	17	16	15	12	14	13	11	12	11	11	17	10	7	9	6	17	15	19	8	16	4	18	
9	19	5	14	18	12	13	17	16	15	12	14	1	11	12	11	11	18	10	7	9	6	17	15	19	8	16	4	
13	9	19	5	14	18	12	13	17	16	15	1	14	13	11	12	11	11	19	10	7	9	6	17	15	19	1	16	
7	13	9	19	1	14	18	12	13	17	16	15	12	1	13	11	12	11	11	1	10	7	9	6	17	15	19	8	
17	7	13	9	19	5	14	18	12	13	17	16	15	12	14	13	11	12	11	11	2	10	7	9	1	17	15	19	
10	17	7	13	9	19	5	14	18	12	13	17	16	15	12	14	13	11	12	11	11	3	10	7	9	6	17	15	
6	10	17	7	13	9	19	5	14	18	12	13	17	16	1	12	14	13	11	12	11	11	4	10	7	9	6	17	
8	6	10	17	7	13	9	19	5	14	18	1	1	17	16	15	12	14	13	11	12	11	11	5	10	1	9	6	
15	8	6	10	17	7	13	9	19	5	14	18	12	13	17	1	15	12	14	13	11	12	11	11	6	10	7	1	
