19	11	13	12	20	16	18	14	21	21	15	3	20	5	7	22	9	4	23	6	8	23	17	19	24	22	24	20	2	20	17	1	23	
20	12	14	13	21	17	19	15	22	22	16	4	20	6	8	23	10	5	24	7	9	20	18	20	17	23	1	24	3	21	18	2	24	
20	13	15	14	22	18	20	16	23	23	17	5	24	7	9	24	11	6	17	8	10	19	19	21	18	24	2	20	4	22	19	3	1	
20	14	16	15	23	19	21	17	24	24	18	6	19	8	10	17	12	7	18	9	11	24	20	22	19	1	3	19	5	23	20	4	2	
23	15	17	16	24	20	22	18	17	1	19	7	19	9	11	18	13	8	19	10	12	20	21	23	20	2	4	20	6	24	21	5	3	
24	16	18	17	17	21	23	19	18	2	20	8	20	10	12	19	14	9	20	11	13	19	22	24	21	3	5	19	7	1	22	6	4	
21	17	19	18	19	22	24	20	21	3	21	9	23	11	13	23	15	10	18	12	14	22	23	1	20	4	6	21	8	2	22	7	5	
21	18	20	19	20	23	1	21	22	4	22	10	21	12	14	24	16	11	19	13	15	21	24	2	21	5	7	23	9	3	23	8	6	
21	19	21	20	21	24	2	22	23	5	23	11	22	13	15	17	17	12	20	14	16	23	1	3	22	6	8	22	10	4	24	9	7	
22	20	22	21	22	1	3	23	24	6	24	12	22	14	16	18	18	13	21	15	17	22	2	4	23	7	9	24	11	5	17	10	8	
22	21	23	22	23	2	4	24	17	7	1	13	24	15	17	19	19	14	22	16	18	21	3	5	24	8	10	22	12	6	18	11	9	
22	22	24	23	24	3	5	1	18	8	2	14	21	16	18	20	20	15	23	17	19	24	4	6	17	9	11	21	13	7	19	12	10	
23	23	1	24	17	4	6	2	19	9	3	15	21	17	19	21	21	16	24	18	20	22	5	7	18	10	12	22	14	8	20	13	11	
24	24	2	1	18	5	7	3	20	10	4	16	22	18	20	22	22	17	17	19	21	21	6	8	19	11	13	21	15	9	21	14	12	
