9	21	21	21	6	21	21	6	21	21	2	21	21	6	21	21	7	21	21	9	21	21	21	1	5	9	23	13	17	25	21	25	27	29	4	29	8	11	21	16	19
10	22	22	22	5	22	22	5	22	22	1	22	22	5	22	22	8	22	22	10	22	22	22	2	6	10	24	14	18	26	22	26	28	30	3	30	7	12	22	15	20
9	23	23	23	10	23	23	2	23	23	8	23	23	8	23	23	5	23	23	8	23	23	5	9	9	10	1	9	9	3	9	9	7	9	9	1	9	10	7	10	9
10	24	24	24	9	24	24	1	24	24	7	24	24	7	24	24	6	24	24	7	24	24	6	10	10	9	2	10	10	4	10	10	8	10	10	2	10	9	8	9	10
8	25	25	25	10	25	25	10	25	25	6	25	25	10	25	25	8	25	25	6	25	25	7	29	29	29	6	29	29	7	30	29	9	29	29	2	29	29	5	29	29
7	26	26	26	9	26	26	9	26	26	5	26	26	9	26	26	7	26	26	5	26	26	8	30	30	30	5	30	30	8	29	30	10	30	30	1	30	30	6	30	30
6	27	27	27	8	27	27	10	27	27	9	27	27	6	27	27	2	27	27	8	27	27	25	27	1	5	27	10	13	30	17	21	29	25	30	25	3	7	22	11	15
5	28	28	28	7	28	28	9	28	28	10	28	28	5	28	28	1	28	28	7	28	28	26	28	2	6	28	9	14	29	18	22	30	26	29	26	4	8	21	12	16
8	29	29	29	6	29	29	8	29	29	10	29	29	2	29	29	6	29	29	3	29	29	19	15	17	19	18	21	23	14	25	27	16	30	1	13	3	5	13	7	9
7	30	30	30	5	30	30	7	30	30	9	30	30	1	30	30	5	30	30	4	30	30	20	16	18	20	17	22	24	13	26	28	15	29	2	14	4	6	14	8	10
11	1	4	5	13	8	9	15	12	13	17	15	18	19	19	21	11	23	25	13	28	29	17	13	16	17	12	19	21	12	23	26	13	27	30	14	1	4	11	5	7
12	2	3	6	14	7	10	16	11	14	18	16	17	20	20	22	12	24	26	14	27	30	18	14	15	18	11	20	22	11	24	25	14	28	29	13	2	3	12	6	8
11	3	5	7	19	10	12	17	14	16	13	18	19	15	22	24	13	25	28	11	29	1	12	1	3	5	14	7	9	15	11	13	18	15	17	19	19	21	12	23	25
12	4	6	8	20	9	11	18	13	15	14	17	20	16	21	23	14	26	27	12	30	2	11	2	4	6	13	8	10	16	12	14	17	16	18	20	20	22	11	24	26
13	6	7	9	14	11	13	19	15	17	11	19	21	13	23	26	15	28	29	11	1	4	28	13	18	22	21	26	29	21	4	7	23	11	16	23	20	24	22	27	1
14	5	8	10	13	12	14	20	16	18	12	20	22	14	24	25	16	27	30	12	2	3	27	14	17	21	22	25	30	22	3	8	24	12	15	24	19	23	21	28	2
14	7	9	12	11	14	15	16	17	19	19	22	24	17	26	28	14	30	1	15	4	6	17	26	27	29	20	1	4	19	5	7	16	9	11	19	13	15	18	17	19
13	8	10	11	12	13	16	15	18	20	20	21	23	18	25	27	13	29	2	16	3	5	18	25	28	30	19	2	3	20	6	8	15	10	12	20	14	16	17	18	20
15	9	11	13	12	15	17	13	20	22	18	24	25	11	27	30	17	1	3	12	5	7	19	23	25	27	20	30	1	12	4	5	18	7	9	17	11	14	16	16	17
16	10	12	14	11	16	18	14	19	21	17	23	26	12	28	29	18	2	4	11	6	8	20	24	26	28	19	29	2	11	3	6	17	8	10	18	12	13	15	15	18
14	11	14	15	15	17	19	14	22	23	13	26	28	19	29	1	19	3	5	17	8	10	25	10	13	18	21	22	26	23	30	3	27	7	12	21	15	19	28	24	27
13	12	13	16	16	18	20	13	21	24	14	25	27	20	30	2	20	4	6	18	7	9	26	9	14	17	22	21	25	24	29	4	28	8	11	22	16	20	27	23	28
17	14	15	17	12	19	22	11	23	25	13	27	30	14	2	3	12	5	8	19	9	12	3	7	8	7	2	8	7	5	7	7	10	8	7	7	8	8	4	7	7
18	13	16	18	11	20	21	12	24	26	14	28	29	13	1	4	11	6	7	20	10	11	4	8	7	8	1	7	8	6	8	8	9	7	8	8	7	7	3	8	8
19	15	17	19	17	22	24	14	25	28	15	30	1	14	3	5	14	7	9	13	11	13	16	27	30	1	18	4	5	20	8	9	19	11	13	16	16	17	12	19	22
20	16	18	20	18	21	23	13	26	27	16	29	2	13	4	6	13	8	10	14	12	14	15	28	29	2	17	3	6	19	7	10	20	12	14	15	15	18	11	20	21
11	17	19	21	17	23	26	11	27	29	12	1	3	12	6	7	20	9	11	15	14	15	2	18	18	18	7	17	18	1	18	17	2	18	18	2	17	18	9	18	17
12	18	20	22	18	24	25	12	28	30	11	2	4	11	5	8	19	10	12	16	13	16	1	17	17	17	8	18	17	2	17	18	1	17	17	1	18	17	10	17	18
16	19	22	23	14	25	27	17	29	2	16	3	6	17	7	9	20	11	13	20	16	17	29	22	25	30	25	4	7	25	12	16	21	19	23	26	27	1	28	5	10
15	20	21	24	13	26	28	18	30	1	15	4	5	18	8	10	19	12	14	19	15	18	30	21	26	29	26	3	8	26	11	15	22	20	24	25	28	2	27	6	9
19	21	23	25	15	27	29	16	2	3	12	5	8	16	10	11	18	13	15	20	17	19	8	13	14	13	2	14	14	2	13	13	3	13	14	4	14	14	1	13	14
20	22	24	26	16	28	30	15	1	4	11	6	7	15	9	12	17	14	16	19	18	20	7	14	13	14	1	13	13	1	14	14	4	14	13	3	13	13	2	14	13
20	23	26	27	20	29	1	12	3	5	18	7	9	18	11	13	16	15	17	17	19	22	20	22	23	25	15	27	29	15	1	4	12	5	7	16	10	11	18	13	16
19	24	25	28	19	30	2	11	4	6	17	8	10	17	12	14	15	16	18	18	20	21	19	21	24	26	16	28	30	16	2	3	11	6	8	15	9	12	17	14	15
17	26	28	29	20	1	4	20	5	7	16	9	11	20	13	16	18	18	19	16	22	24	17	29	1	4	16	5	8	18	9	11	19	14	16	12	17	19	16	22	23
18	25	27	30	19	2	3	19	6	8	15	10	12	19	14	15	17	17	20	15	21	23	18	30	2	3	15	6	7	17	10	12	20	13	15	11	18	20	15	21	24
16	27	29	1	18	4	6	20	8	9	20	11	14	16	15	17	12	19	22	18	23	25	21	18	22	25	28	30	4	21	8	12	22	15	19	21	23	27	29	2	5
15	28	30	2	17	3	5	19	7	10	19	12	13	15	16	18	11	20	21	17	24	26	22	17	21	26	27	29	3	22	7	11	21	16	20	22	24	28	30	1	6
18	29	1	3	16	6	7	18	10	11	20	13	15	12	17	19	16	21	23	14	25	28	8	26	25	26	9	26	26	9	26	26	6	25	26	9	25	25	8	26	25
17	30	2	4	15	5	8	17	9	12	19	14	16	11	18	20	15	22	24	13	26	27	7	25	26	25	10	25	25	10	25	25	5	26	25	10	26	26	7	25	26
21	1	6	9	23	14	17	25	22	26	27	30	4	29	7	12	21	16	20	23	24	28	2	1	1	2	3	2	2	5	1	1	7	1	1	10	2	2	1	2	2
22	2	5	10	24	13	18	26	21	25	28	29	3	30	8	11	22	15	19	24	23	27	1	2	2	1	4	1	1	6	2	2	8	2	2	9	1	1	2	1	1
22	3	7	12	29	16	20	27	23	28	23	2	6	25	10	14	23	18	22	21	26	29	25	19	23	27	23	2	6	28	10	14	25	18	21	27	25	29	30	3	8
