5	7	16	2	17	16	20	6	25	21	25	7	9	8	11	22	23	17	3	13	24	11	3	4	25	19	18	21	13	9	15	24	9	19	13	12	1
6	8	15	1	18	15	19	5	26	22	26	8	10	7	12	21	24	18	4	14	23	12	4	3	26	20	17	22	14	10	16	23	10	20	14	11	2
7	16	1	17	16	20	6	25	21	25	7	9	8	11	22	23	17	3	13	24	11	3	4	26	19	18	21	13	9	15	24	10	19	13	12	2	5
8	15	2	18	15	19	5	26	22	26	8	10	7	12	21	24	18	4	14	23	12	4	3	25	20	17	22	14	10	16	23	9	20	14	11	1	6
16	1	17	16	20	6	25	21	25	7	9	8	12	22	23	17	3	13	24	11	3	4	26	19	18	21	13	9	15	24	10	19	13	11	2	5	5
15	2	18	15	19	5	26	22	26	8	10	7	11	21	24	18	4	14	23	12	4	3	25	20	17	22	14	10	16	23	9	20	14	12	1	6	6
2	17	16	20	6	25	21	25	7	9	8	11	22	23	17	3	13	24	11	3	4	26	19	18	22	13	10	15	24	10	19	13	12	1	5	5	7
1	18	15	19	5	26	22	26	8	10	7	12	21	24	18	4	14	23	12	4	3	25	20	17	21	14	9	16	23	9	20	14	11	2	6	6	8
17	16	20	6	25	21	25	7	9	8	12	22	23	17	3	13	24	12	3	4	26	19	18	22	13	9	15	24	10	19	13	11	1	5	5	7	16
18	15	19	5	26	22	26	8	10	7	11	21	24	18	4	14	23	11	4	3	25	20	17	21	14	10	16	23	9	20	14	12	2	6	6	8	15
16	20	6	25	21	25	7	9	8	12	22	23	17	3	13	24	11	3	4	26	19	18	22	13	9	15	24	10	19	13	12	2	5	5	7	16	1
15	19	5	26	22	26	8	10	7	11	21	24	18	4	14	23	12	4	3	25	20	17	21	14	10	16	23	9	20	14	11	1	6	6	8	15	2
20	6	25	21	25	7	9	8	12	22	23	17	3	13	24	11	3	4	26	19	18	22	13	9	15	24	10	19	13	12	1	5	5	7	16	2	17
19	5	26	22	26	8	10	7	11	21	24	18	4	14	23	12	4	3	25	20	17	21	14	10	16	23	9	20	14	11	2	6	6	8	15	1	18
6	25	21	25	7	10	8	12	22	23	17	3	13	24	11	3	4	26	19	18	22	13	9	15	24	10	19	13	11	1	5	5	7	16	2	17	16
5	26	22	26	8	9	7	11	21	24	18	4	14	23	12	4	3	25	20	17	21	14	10	16	23	9	20	14	12	2	6	6	8	15	1	18	15
25	21	25	8	9	8	11	22	23	17	3	14	24	11	3	4	26	19	18	22	13	10	15	24	10	19	13	12	2	5	5	7	15	1	17	16	20
26	22	26	7	10	7	12	21	24	18	4	13	23	12	4	3	25	20	17	21	14	9	16	23	9	20	14	11	1	6	6	8	16	2	18	15	19
21	25	8	10	8	11	22	23	17	3	14	24	12	3	4	26	19	18	22	13	10	15	24	10	19	13	11	2	5	5	7	15	1	17	16	20	6
22	26	7	9	7	12	21	24	18	4	13	23	11	4	3	25	20	17	21	14	9	16	23	9	20	14	12	1	6	6	8	16	2	18	15	19	5
26	7	9	8	12	22	23	17	3	14	24	11	3	4	26	19	18	22	13	9	15	24	10	19	13	12	1	5	5	7	16	2	18	16	20	6	25
25	8	10	7	11	21	24	18	4	13	23	12	4	3	25	20	17	21	14	10	16	23	9	20	14	11	2	6	6	8	15	1	17	15	19	5	26
7	10	8	12	22	23	17	3	14	24	12	3	4	26	19	18	22	13	9	15	24	10	19	13	11	2	5	5	7	16	1	18	16	20	6	25	21
8	9	7	11	21	24	18	4	13	23	11	4	3	25	20	17	21	14	10	16	23	9	20	14	12	1	6	6	8	15	2	17	15	19	5	26	22
10	8	11	22	23	17	3	14	24	12	3	4	26	19	18	22	13	10	15	24	10	19	13	11	2	5	5	7	15	1	18	16	20	6	25	21	25
9	7	12	21	24	18	4	13	23	11	4	3	25	20	17	21	14	9	16	23	9	20	14	12	1	6	6	8	16	2	17	15	19	5	26	22	26
8	11	22	23	17	3	14	24	12	3	4	26	19	18	22	13	10	16	24	10	19	13	12	1	5	5	7	15	2	18	16	20	6	25	21	25	8
7	12	21	24	18	4	13	23	11	4	3	25	20	17	21	14	9	15	23	9	20	14	11	2	6	6	8	16	1	17	15	19	5	26	22	26	7
11	22	23	17	3	14	24	12	3	4	26	19	18	22	13	10	15	24	10	19	13	11	1	5	5	8	15	2	18	16	20	6	25	21	25	8	10
12	21	24	18	4	13	23	11	4	3	25	20	17	21	14	9	16	23	9	20	14	12	2	6	6	7	16	1	17	15	19	5	26	22	26	7	9
22	23	17	3	14	24	11	3	4	26	20	18	22	13	9	16	24	10	19	13	11	2	5	5	7	16	1	18	16	20	6	25	21	26	7	10	8
21	24	18	4	13	23	12	4	3	25	19	17	21	14	10	15	23	9	20	14	12	1	6	6	8	15	2	17	15	19	5	26	22	25	8	9	7
23	17	3	14	24	11	3	4	26	20	18	22	13	9	15	24	10	19	13	11	1	5	5	8	16	2	18	16	20	6	25	21	26	7	10	8	12
24	18	4	13	23	12	4	3	25	19	17	21	14	10	16	23	9	20	14	12	2	6	6	7	15	1	17	15	19	5	26	22	25	8	9	7	11
17	3	14	24	12	3	4	26	20	18	22	14	10	16	24	10	19	13	11	1	5	5	7	15	2	18	16	20	6	25	21	25	8	10	8	12	22
18	4	13	23	11	4	3	25	19	17	21	13	9	15	23	9	20	14	12	2	6	6	8	16	1	17	15	19	5	26	22	26	7	9	7	11	21
3	14	24	12	3	4	26	20	18	22	14	10	15	24	10	19	13	12	2	5	5	8	15	1	18	16	20	6	25	21	25	8	9	8	12	22	23
4	13	23	11	4	3	25	19	17	21	13	9	16	23	9	20	14	11	1	6	6	7	16	2	17	15	19	5	26	22	26	7	10	7	11	21	24
