6	8	16	20	10	4	22	24	20	14	18	28	12	22	6	1	12	5	24	10	11	14	14	8	26	24	25	20	2	16	18	16	8	18	26	4	28	27	22	10
7	15	19	9	4	21	23	20	13	17	27	11	21	5	2	12	6	23	9	11	13	14	7	25	23	26	19	1	15	17	15	7	17	25	3	27	27	21	9	3
8	16	20	10	3	22	24	19	14	18	28	12	22	6	1	11	5	24	10	12	14	13	8	26	24	25	20	2	16	18	16	8	18	26	4	28	28	22	10	4
15	19	9	4	21	23	20	13	17	27	11	21	5	2	12	5	23	9	11	13	13	7	25	24	26	19	1	15	17	15	7	18	25	3	27	28	21	9	3	5
16	20	10	3	22	24	19	14	18	28	12	22	6	1	11	6	24	10	12	14	14	8	26	23	25	20	2	16	18	16	8	17	26	4	28	27	22	10	4	6
19	10	3	21	23	19	13	17	27	11	21	5	2	12	6	23	9	11	13	14	7	25	24	26	19	1	15	17	15	7	17	26	3	27	27	21	9	4	5	7
20	9	4	22	24	20	14	18	28	12	22	6	1	11	5	24	10	12	14	13	8	26	23	25	20	2	16	18	16	8	18	25	4	28	28	22	10	3	6	8
10	3	21	23	20	13	17	27	11	21	5	2	11	6	23	9	12	13	14	7	25	24	26	19	1	15	17	15	8	17	25	3	27	27	21	9	3	5	7	15
9	4	22	24	19	14	18	28	12	22	6	1	12	5	24	10	11	14	13	8	26	23	25	20	2	16	18	16	7	18	26	4	28	28	22	10	4	6	8	16
4	21	23	20	13	17	27	11	21	5	2	12	6	23	9	12	13	14	7	25	24	26	19	1	15	17	15	8	17	26	3	27	27	21	9	3	5	7	15	19
3	22	24	19	14	18	28	12	22	6	1	11	5	24	10	11	14	13	8	26	23	25	20	2	16	18	16	7	18	25	4	28	28	22	10	4	6	8	16	20
21	23	20	13	17	27	11	21	5	2	12	6	23	9	12	13	13	7	25	24	26	19	1	15	17	15	8	17	26	3	27	28	21	9	3	5	7	15	19	9
22	24	19	14	18	28	12	22	6	1	11	5	24	10	11	14	14	8	26	23	25	20	2	16	18	16	7	18	25	4	28	27	22	10	4	6	8	16	20	10
23	19	13	17	27	11	21	5	2	12	6	23	9	12	14	14	7	25	24	26	19	1	15	17	15	8	17	26	3	27	27	21	9	4	5	7	15	19	9	4
24	20	14	18	28	12	22	6	1	11	5	24	10	11	13	13	8	26	23	25	20	2	16	18	16	7	18	25	4	28	28	22	10	3	6	8	16	20	10	3
20	13	17	27	11	21	5	1	11	6	23	9	12	13	14	7	25	24	26	19	2	15	17	15	8	17	26	3	27	28	21	9	3	5	7	16	19	9	4	21
19	14	18	28	12	22	6	2	12	5	24	10	11	14	13	8	26	23	25	20	1	16	18	16	7	18	25	4	28	27	22	10	4	6	8	15	20	10	3	22
13	17	27	11	21	5	2	12	6	23	9	12	13	14	7	25	24	26	19	1	15	17	15	8	17	26	3	27	27	21	9	3	5	7	16	19	10	4	21	23
14	18	28	12	22	6	1	11	5	24	10	11	14	13	8	26	23	25	20	2	16	18	16	7	18	25	4	28	28	22	10	4	6	8	15	20	9	3	22	24
17	27	11	22	6	1	12	6	23	10	12	14	13	7	25	23	26	19	2	15	17	15	8	17	26	3	27	28	21	9	3	5	7	15	19	9	4	21	23	20
18	28	12	21	5	2	11	5	24	9	11	13	14	8	26	24	25	20	1	16	18	16	7	18	25	4	28	27	22	10	4	6	8	16	20	10	3	22	24	19
28	11	21	5	1	12	5	23	10	12	13	14	7	25	24	26	19	2	15	17	15	8	18	26	3	27	28	21	9	4	5	7	16	19	9	4	21	23	19	13
27	12	22	6	2	11	6	24	9	11	14	13	8	26	23	25	20	1	16	18	16	7	17	25	4	28	27	22	10	3	6	8	15	20	10	3	22	24	20	14
11	22	5	1	11	6	23	9	12	13	14	7	25	23	26	19	2	15	17	15	8	17	26	3	27	27	21	9	3	5	7	16	19	9	4	21	23	20	13	17
12	21	6	2	12	5	24	10	11	14	13	8	26	24	25	20	1	16	18	16	7	18	25	4	28	28	22	10	4	6	8	15	20	10	3	22	24	19	14	18
21	5	1	12	6	23	9	12	13	14	7	25	24	26	19	2	15	17	15	8	18	26	3	27	27	21	9	3	5	7	16	19	10	4	21	23	20	13	17	28
22	6	2	11	5	24	10	11	14	13	8	26	23	25	20	1	16	18	16	7	17	25	4	28	28	22	10	4	6	8	15	20	9	3	22	24	19	14	18	27
5	1	12	6	23	9	12	13	14	7	25	23	26	19	2	15	17	15	8	17	26	3	27	27	21	9	3	5	8	16	19	9	4	21	23	20	13	18	28	11
6	2	11	5	24	10	11	14	13	8	26	24	25	20	1	16	18	16	7	18	25	4	28	28	22	10	4	6	7	15	20	10	3	22	24	19	14	17	27	12
1	12	6	24	10	12	13	14	7	25	24	26	19	2	15	17	15	8	17	26	3	27	27	21	10	3	5	8	16	19	10	3	21	23	20	13	17	28	11	21
2	11	5	23	9	11	14	13	8	26	23	25	20	1	16	18	16	7	18	25	4	28	28	22	9	4	6	7	15	20	9	4	22	24	19	14	18	27	12	22
11	6	23	9	12	13	14	7	25	24	26	19	2	15	18	15	8	17	26	3	27	27	21	9	4	5	8	16	19	9	4	21	23	19	13	18	28	11	21	5
12	5	24	10	11	14	13	8	26	23	25	20	1	16	17	16	7	18	25	4	28	28	22	10	3	6	7	15	20	10	3	22	24	20	14	17	27	12	22	6
