10	16	10	20	3	5	7	11	15	23	8	19	2	27	12	6	25	26	13	24	22	9	1	18	11	7	7	9	21	9	8	17	12	12	2	
11	17	12	21	4	6	26	12	16	24	8	20	3	1	8	7	26	12	14	25	23	7	2	19	12	9	8	10	22	7	9	18	13	9	3	
12	18	9	22	5	7	12	13	17	25	11	21	4	2	8	8	27	8	15	26	24	11	3	20	13	12	9	11	23	9	10	19	14	26	4	
13	19	7	23	6	8	11	14	18	26	10	22	5	3	8	9	1	9	16	27	25	9	4	21	14	8	10	12	24	25	11	20	15	11	5	
14	20	11	24	7	9	8	15	19	27	25	23	6	4	7	10	2	8	17	1	26	9	5	22	15	9	11	13	25	8	12	21	16	10	6	
15	21	25	25	8	10	11	16	20	1	9	24	7	5	11	11	3	10	18	2	27	8	6	23	16	9	12	14	26	9	13	22	17	7	7	
16	22	8	26	9	11	10	17	21	2	26	25	8	6	10	12	4	7	19	3	1	10	7	24	17	8	13	15	27	9	14	23	18	9	8	
17	23	9	27	10	12	7	18	22	3	10	26	9	7	11	13	5	11	20	4	2	25	8	25	18	10	14	16	1	8	15	24	19	9	9	
18	24	9	1	11	13	9	19	23	4	8	27	10	8	7	14	6	7	21	5	3	12	9	26	19	11	15	17	2	26	16	25	20	7	10	
19	25	8	2	12	14	9	20	24	5	7	1	11	9	8	15	7	10	22	6	4	26	10	27	20	7	16	18	3	11	17	26	21	10	11	
20	26	26	3	13	15	7	21	25	6	7	2	12	10	9	16	8	8	23	7	5	10	11	1	21	11	17	19	4	7	18	27	22	11	12	
21	27	11	4	14	16	10	22	26	7	8	3	13	11	9	17	9	9	24	8	6	8	12	2	22	10	18	20	5	11	19	1	23	27	13	
22	1	7	5	15	17	10	23	27	8	11	4	14	12	11	18	10	27	25	9	7	7	13	3	23	11	19	21	6	10	20	2	24	10	14	
23	2	27	6	16	18	8	24	1	9	10	5	15	13	12	19	11	7	26	10	8	7	14	4	24	12	20	22	7	11	21	3	25	8	15	
24	3	10	7	17	19	10	25	2	10	9	6	16	14	7	20	12	12	27	11	9	27	15	5	25	12	21	23	8	12	22	4	26	11	16	
25	4	11	8	18	20	27	26	3	11	10	7	17	15	10	21	13	10	1	12	10	11	16	6	26	11	22	24	9	12	23	5	27	12	17	
26	5	12	9	19	21	11	27	4	12	11	8	18	16	7	22	14	11	2	13	11	10	17	7	27	27	23	25	10	11	24	6	1	12	18	
27	6	12	10	20	22	12	1	5	13	27	9	19	17	12	23	15	10	3	14	12	12	18	8	1	10	24	26	11	10	25	7	2	11	19	
1	7	11	11	21	23	12	2	6	14	12	10	20	18	11	24	16	12	4	15	13	10	19	9	2	7	25	27	12	27	26	8	3	8	20	
2	8	10	12	22	24	11	3	7	15	12	11	21	19	27	25	17	7	5	16	14	11	20	10	3	10	26	1	13	7	27	9	4	10	21	
4	12	13	17	6	10	14	15	16	11	15	27	18	7	16	19	23	17	22	26	5	18	20	9	25	13	2	26	21	13	14	16	24	25	13	
