24	1	6	3	6	7	8	5	12	16	17	11	3	22	21	13	4	3	20	19	25	2	5	12	14	6	26	25	23	10	
25	2	6	4	7	8	9	6	13	17	18	12	4	23	22	14	5	2	21	20	26	3	1	13	15	7	1	26	24	11	
26	3	25	5	8	9	10	5	14	18	19	13	6	24	23	15	6	5	22	21	1	4	4	14	16	8	2	2	25	12	
1	4	26	6	9	10	11	6	15	19	20	14	5	25	24	16	7	4	23	22	2	5	5	15	17	9	3	1	26	13	
3	9	7	13	19	21	23	25	2	8	10	6	7	18	20	24	4	6	26	5	16	25	6	14	12	15	7	6	17	11	
4	10	7	14	20	22	24	26	3	9	11	7	8	19	21	25	5	7	1	6	17	26	7	15	13	16	8	7	18	12	
5	11	7	15	21	23	25	7	4	10	12	8	25	20	22	26	6	8	2	7	18	1	8	16	14	17	9	8	19	13	
6	12	7	16	22	24	26	8	5	11	13	9	26	21	23	1	7	9	3	8	19	2	9	17	15	18	10	9	20	14	
7	13	8	17	23	25	1	7	6	12	14	10	7	22	24	2	8	21	4	9	20	3	7	18	16	19	11	9	21	15	
8	14	8	18	24	26	2	8	7	13	15	11	8	23	25	3	9	22	5	10	21	4	6	19	17	20	12	8	22	16	
9	15	8	19	25	1	3	9	8	14	16	12	9	24	26	4	10	23	6	11	22	5	8	20	18	21	13	6	23	17	
10	16	8	20	26	2	4	10	9	15	17	13	10	25	1	5	11	24	7	12	23	6	9	21	19	22	14	10	24	18	
11	17	9	21	1	3	5	7	10	16	18	14	8	26	2	6	12	25	8	13	24	7	9	22	20	23	15	6	25	19	
12	18	9	22	2	4	6	8	11	17	19	15	7	1	3	7	13	26	9	14	25	8	8	23	21	24	16	7	26	20	
13	19	9	23	3	5	7	9	12	18	20	16	10	2	4	8	14	6	10	15	26	9	21	24	22	25	17	8	1	21	
14	20	9	24	4	6	8	10	13	19	21	17	9	3	5	9	15	7	11	16	1	10	22	25	23	26	18	9	2	22	
15	21	10	25	5	7	9	7	14	20	22	18	9	4	6	10	16	6	12	17	2	11	23	26	24	1	19	7	3	23	
16	22	10	26	6	8	10	8	15	21	23	19	10	5	7	11	17	10	13	18	3	12	10	1	25	2	20	21	4	24	
17	23	10	1	7	9	11	11	16	22	24	20	11	6	8	12	18	7	14	19	4	13	24	2	26	3	21	10	5	25	
