26	5	29	6	7	31	25	28	8	9	30	10	22	11	15	11	22	10	30	9	8	28	25	31	7	6	29	5	26	24	23	27	4	1	2	2	3	4	27	23	24	
24	26	5	29	6	7	31	25	28	8	9	30	10	22	11	16	11	22	10	30	9	8	28	25	31	7	6	29	5	26	24	23	27	4	3	2	2	3	4	27	23	
23	24	26	5	29	1	1	31	25	28	8	9	30	10	22	11	17	11	22	10	30	9	8	28	1	31	7	6	1	5	26	24	23	27	1	3	2	2	3	4	27	
27	23	24	26	1	29	6	7	31	25	28	8	9	30	10	22	11	18	11	22	10	30	9	8	28	25	31	7	6	29	5	26	24	23	27	4	3	2	2	3	4	
4	27	23	24	26	5	29	6	7	31	25	28	8	9	30	10	22	11	19	11	22	10	30	9	8	28	25	31	7	6	29	5	26	24	23	27	4	3	2	2	3	
3	4	27	23	24	26	5	29	6	7	31	25	28	8	9	30	10	22	11	20	11	1	10	30	9	8	28	25	31	7	6	29	5	26	24	23	27	4	3	2	2	
2	3	4	27	23	24	26	5	29	6	7	31	25	28	8	9	30	10	22	11	21	11	22	10	30	9	8	1	25	31	7	6	29	5	26	24	23	27	4	3	2	
2	1	1	1	27	23	24	26	5	29	6	7	31	25	28	8	9	30	10	22	11	22	11	22	10	30	9	8	28	25	1	7	6	29	5	26	24	23	27	4	3	
3	1	2	3	4	27	23	24	26	5	29	6	7	31	25	28	8	9	30	10	22	11	23	11	22	10	30	9	8	28	25	31	7	6	29	1	26	24	23	27	4	
4	3	2	2	3	4	27	23	24	26	5	29	6	7	31	25	28	8	9	30	10	1	11	24	11	22	10	30	9	8	28	25	31	7	6	29	5	26	24	23	27	
27	4	1	2	2	3	4	27	23	24	26	5	29	6	7	31	25	28	8	9	30	10	22	11	25	11	22	10	30	9	8	28	25	31	7	6	29	5	26	24	23	
23	27	4	3	2	2	3	4	27	23	24	26	5	29	6	7	31	25	28	8	9	30	10	22	11	26	11	22	10	1	9	8	28	25	31	7	1	29	5	26	24	
24	23	27	1	3	2	2	3	4	27	23	24	26	5	29	6	7	31	25	28	8	9	30	10	22	11	27	11	22	10	30	9	8	28	25	31	7	6	29	5	26	
26	24	23	27	4	3	2	2	3	4	27	23	24	26	5	29	6	7	31	25	28	8	9	30	10	22	11	28	11	22	10	30	9	8	28	25	31	1	6	29	5	
5	26	24	23	27	4	3	2	2	3	4	27	23	24	26	5	29	6	7	31	25	28	8	9	30	10	22	11	29	11	22	10	30	9	8	28	25	31	7	6	29	
29	5	26	24	23	27	4	3	2	2	3	4	27	23	24	26	5	29	6	7	31	25	28	8	9	30	10	22	11	30	11	22	10	30	9	8	28	25	31	7	6	
