4	8	22	26	6	10	19	24	17	24	20	10	6	25	21	8	4	14	24	26	8	26	23	2	22	2	11	20	16	16	20
3	1	7	21	25	6	9	19	24	19	23	19	9	6	25	22	2	4	8	21	25	5	9	19	23	17	23	20	9	5	26
4	2	8	22	26	5	10	20	23	20	24	20	10	5	26	21	1	3	7	22	26	6	10	20	24	18	24	19	10	6	25
7	2	3	1	21	25	5	9	20	23	22	1	19	9	6	25	22	25	21	7	3	4	7	21	26	5	9	20	1	26	24
8	1	4	2	22	26	6	10	19	24	21	2	20	10	5	26	21	26	22	8	4	3	8	22	25	6	10	19	2	25	23
21	7	4	3	7	21	26	5	10	2	23	24	23	19	9	2	25	1	24	19	10	6	25	21	7	3	3	7	22	1	5
22	8	3	4	8	22	25	6	9	1	24	23	24	20	10	1	26	2	23	20	9	5	26	22	8	4	4	8	21	2	6
25	21	7	3	3	7	22	25	5	10	20	1	25	23	19	10	5	26	5	9	19	23	11	23	19	10	6	25	21	8	3
26	22	8	4	4	8	21	26	6	9	19	2	26	24	20	9	6	25	6	10	20	24	12	24	20	9	5	26	22	7	4
5	25	21	2	4	3	7	22	26	5	9	19	24	1	23	20	10	7	17	15	10	14	4	11	6	5	11	4	13	9	15
6	26	22	1	3	4	8	21	25	6	10	20	23	2	24	19	9	8	18	16	9	13	3	12	5	6	12	3	14	10	16
10	6	26	21	8	3	3	8	22	25	6	10	19	24	4	23	20	9	19	23	7	23	19	9	5	25	21	7	4	3	7
9	5	25	22	7	4	4	7	21	26	5	9	20	23	3	24	19	10	20	24	8	24	20	10	6	26	22	8	3	4	8
20	10	1	26	21	7	3	3	8	22	25	6	10	19	24	5	24	19	15	15	20	12	18	22	13	23	25	21	25	23	13
19	9	2	25	22	8	4	4	7	21	26	5	9	20	23	6	23	20	16	16	19	11	17	21	14	24	26	22	26	24	14
24	19	9	5	25	21	7	3	3	7	1	25	6	10	20	23	8	8	3	7	18	16	10	1	3	11	6	5	11	4	14
23	20	10	6	26	22	8	4	4	8	2	26	5	9	19	24	7	7	4	8	17	15	9	2	4	12	5	6	12	3	13
1	8	17	15	1	13	3	11	5	5	11	4	13	9	15	17	1	8	2	4	2	22	25	6	10	20	23	22	2	19	9
